"DATE","REGION","AGEGROUP","Female","Male","All"
2020-03-07,"Flanders","40-49",4.14285714285714,4.28571428571429,8.42857142857143
2020-03-07,"Flanders","50-59",2.28571428571429,3.71428571428571,6
2020-03-08,"Flanders","10-19",1.85714285714286,1.85714285714286,3.71428571428571
2020-03-08,"Flanders","40-49",5,4.14285714285714,9.14285714285714
2020-03-08,"Flanders","50-59",2.71428571428571,4.42857142857143,7.14285714285714
2020-03-08,"Flanders","60-69",1,1.85714285714286,2.85714285714286
2020-03-08,"Wallonia","40-49",1.85714285714286,1.42857142857143,3.28571428571429
2020-03-08,"Wallonia","60-69",1,1,2
2020-03-09,"Brussels","40-49",0.714285714285714,0.714285714285714,1.42857142857143
2020-03-09,"Brussels","50-59",1.14285714285714,0.714285714285714,1.85714285714286
2020-03-09,"Flanders","10-19",1.85714285714286,1.85714285714286,3.71428571428571
2020-03-09,"Flanders","20-29",2.57142857142857,2.85714285714286,5.42857142857143
2020-03-09,"Flanders","30-39",2.57142857142857,2.42857142857143,5
2020-03-09,"Flanders","40-49",5.42857142857143,4.71428571428571,10.1428571428571
2020-03-09,"Flanders","50-59",3.28571428571429,4.28571428571429,7.57142857142857
2020-03-09,"Flanders","60-69",1.28571428571429,2,3.28571428571429
2020-03-09,"Flanders","70-79",0.857142857142857,2,2.85714285714286
2020-03-09,"Wallonia","10-19",1.14285714285714,1.14285714285714,2.28571428571429
2020-03-09,"Wallonia","40-49",3.28571428571429,2.28571428571429,5.57142857142857
2020-03-09,"Wallonia","60-69",1,1.28571428571429,2.28571428571429
2020-03-10,"Brussels","40-49",0.857142857142857,0.857142857142857,1.71428571428571
2020-03-10,"Brussels","50-59",1.14285714285714,0.714285714285714,1.85714285714286
2020-03-10,"Flanders","10-19",2,2,4
2020-03-10,"Flanders","20-29",2.71428571428571,3.28571428571429,6
2020-03-10,"Flanders","30-39",3.28571428571429,2.85714285714286,6.14285714285714
2020-03-10,"Flanders","40-49",5.71428571428571,5.42857142857143,11.1428571428571
2020-03-10,"Flanders","50-59",3.42857142857143,5.42857142857143,8.85714285714286
2020-03-10,"Flanders","60-69",1.57142857142857,2.71428571428571,4.28571428571429
2020-03-10,"Flanders","70-79",1.14285714285714,2,3.14285714285714
2020-03-10,"Wallonia","30-39",1.57142857142857,1.14285714285714,2.71428571428571
2020-03-10,"Wallonia","40-49",3.14285714285714,2.42857142857143,5.57142857142857
2020-03-10,"Wallonia","50-59",1.71428571428571,2.85714285714286,4.57142857142857
2020-03-10,"Wallonia","60-69",1.28571428571429,1.28571428571429,2.57142857142857
2020-03-11,"Brussels","40-49",0.857142857142857,0.857142857142857,1.71428571428571
2020-03-11,"Brussels","50-59",1.14285714285714,0.857142857142857,2
2020-03-11,"Brussels","70-79",0.428571428571429,0.714285714285714,1.14285714285714
2020-03-11,"Flanders","10-19",2.14285714285714,2,4.14285714285714
2020-03-11,"Flanders","20-29",3.42857142857143,3.28571428571429,6.71428571428571
2020-03-11,"Flanders","30-39",4.57142857142857,3.14285714285714,7.71428571428571
2020-03-11,"Flanders","40-49",6.85714285714286,6.71428571428571,13.5714285714286
2020-03-11,"Flanders","50-59",4.57142857142857,7.14285714285714,11.7142857142857
2020-03-11,"Flanders","60-69",1.42857142857143,3.42857142857143,4.85714285714286
2020-03-11,"Flanders","70-79",1.28571428571429,2,3.28571428571429
2020-03-11,"Wallonia","10-19",1.14285714285714,1.14285714285714,2.28571428571429
2020-03-11,"Wallonia","30-39",1.71428571428571,1.85714285714286,3.57142857142857
2020-03-11,"Wallonia","40-49",3.28571428571429,3.42857142857143,6.71428571428571
2020-03-11,"Wallonia","50-59",2.57142857142857,3,5.57142857142857
2020-03-11,"Wallonia","60-69",1.42857142857143,1.57142857142857,3
2020-03-12,"Brussels","10-19",0.571428571428571,0.714285714285714,1.28571428571429
2020-03-12,"Brussels","20-29",0.571428571428571,1,1.57142857142857
2020-03-12,"Brussels","30-39",1.85714285714286,0.714285714285714,2.57142857142857
2020-03-12,"Brussels","40-49",1.28571428571429,0.857142857142857,2.14285714285714
2020-03-12,"Brussels","50-59",1,1,2
2020-03-12,"Brussels","70-79",0.857142857142857,1.14285714285714,2
2020-03-12,"Flanders","0-9",0.714285714285714,1.14285714285714,1.85714285714286
2020-03-12,"Flanders","10-19",2,2.42857142857143,4.42857142857143
2020-03-12,"Flanders","20-29",4.14285714285714,4.14285714285714,8.28571428571429
2020-03-12,"Flanders","30-39",6.42857142857143,4,10.4285714285714
2020-03-12,"Flanders","40-49",7.71428571428571,7.57142857142857,15.2857142857143
2020-03-12,"Flanders","50-59",6.28571428571429,7.85714285714286,14.1428571428571
2020-03-12,"Flanders","60-69",2.28571428571429,4.14285714285714,6.42857142857143
2020-03-12,"Flanders","70-79",2,2.71428571428571,4.71428571428571
2020-03-12,"Wallonia","20-29",2,2.42857142857143,4.42857142857143
2020-03-12,"Wallonia","30-39",1.71428571428571,1.71428571428571,3.42857142857143
2020-03-12,"Wallonia","40-49",3.85714285714286,4.57142857142857,8.42857142857143
2020-03-12,"Wallonia","50-59",3.28571428571429,2.85714285714286,6.14285714285714
2020-03-12,"Wallonia","60-69",2.57142857142857,1.57142857142857,4.14285714285714
2020-03-13,"Brussels","20-29",1.28571428571429,1,2.28571428571429
2020-03-13,"Brussels","30-39",2,0.857142857142857,2.85714285714286
2020-03-13,"Brussels","40-49",2.14285714285714,1,3.14285714285714
2020-03-13,"Brussels","50-59",0.857142857142857,0.857142857142857,1.71428571428571
2020-03-13,"Brussels","70-79",1,1.85714285714286,2.85714285714286
2020-03-13,"Flanders","10-19",1.57142857142857,1.85714285714286,3.42857142857143
